2021,2022,2023
21299.4425826504,22363.0004654155,23407.741355148
485.806467764266,510.064534336747,533.89341528811
18283.5604965318,19196.5245188999,20093.3359362785
6993.12711721947,7342.31914031634,7685.33308592435
2193.08763590082,2302.59640005297,2410.16768122828
-127.806674218915,-134.188521773668,-140.457458525839
153.425060568813,161.086126414016,168.611648931612
250.381738166066,262.884200120666,275.165462368906
56.4687544681115,59.2884427568596,62.0582437305572
378.144633602484,397.026757080271,415.574808701029
0,0,0
6205.84995752438,6515.73039607554,6820.12827873228
645.382322580485,677.608586354035,709.264687146237
3528.30795638495,3704.48908018298,3877.55312082856
369.323505149535,387.765157863492,405.880531845025
17108.9314817325,17963.2420508121,18802.4377360941
3504.51670306957,3679.5098430822,3851.40691939262
8439.24840818176,8860.65047439093,9274.59688999413
3404.63280083509,3574.63837843498,3741.63613424564
4112.51888822487,4317.87176808168,4519.59144368459
2045.53181108046,2147.67258156178,2248.00622710483
11737.2425617735,12323.3253568233,12899.038885807
3828.83585970766,4020.0234237417,4207.82840361846
3328.3116690592,3494.50625768089,3657.76045008422
1116.96015158036,1172.73399455569,1227.52105942824
3528.56615649166,3704.76017300575,3877.8368781997
2144.32724747917,2251.40122975064,2356.58080674144
70.5871610804385,74.1118322566494,77.5741432149649
57.3379014446807,60.2009893755348,63.0134221346633
1426.79073071642,1498.03553068126,1568.01983248875
6456.50120595009,6778.89756798934,7095.58992902251
14193.9377621808,14902.6921954438,15598.9069938511
4654.64554826127,4887.06876486475,5115.37983444655
6107.74183512626,6367.35191571637,6018.92320247831
1222.74381479667,1283.79981703754,1343.77558679924
8904.17526377747,9844.37854147423,9574.58245527698
517.143254033145,542.96607929842,568.33203430709
197.912185121593,207.794653304085,217.502276009486
4292.61767354111,4506.96353438031,4717.51708201904
5911.56521567003,6206.75095759762,6496.714128566
4460.4251462175,4683.15023844387,4901.93476797907
462.394868741715,485.483909844801,508.164448348623
2072.14429899718,2175.61392668837,2277.25291895839
358.904406844278,376.82579647428,394.43011209294
401.209459603997,421.24329288996,440.922677765864
492.955587827554,517.570635736495,541.75018208861
682.679848876222,716.768512427227,750.254062619956
439.83945302079,461.802221051356,483.376412931381
3108.80126767144,3264.03491139022,3416.52208539267
9654.41289201503,10136.4924995966,10610.0429166836
410.252802580522,430.738202556173,450.861164778126
1535.37727412191,1612.04419117111,1687.35467944166
5347.24489470005,5614.25209074381,5876.53526425512
227.331546373617,238.683029242959,249.833676092059
368.314831172712,386.706117160478,404.772015528105
514.11350266655,539.785041458516,565.00238679394
1290.01547640744,1354.43059534198,1417.70605002247
1983.41060767764,2082.44944280324,2179.73603401097
68.4251654140796,71.8418803675885,75.1981451082418
258.653749705831,271.569262994076,284.256268661723
110.246540085679,115.751546894611,121.159156412347
3230.41298254079,3391.71913706544,3550.1713836958
252.027406848588,264.612042974051,276.974025490248
687.242297335701,721.558780488545,755.268119376881
1211.96312391911,1272.48080777303,1331.9277827671
11378.9657836688,11947.1585271842,12505.2985248447
3334.34383639912,3500.83963244915,3664.3897033026
4534.79839375616,4761.23720932706,4983.66975879638
6095.03769477032,6399.38487887526,6698.34740305016
4231.41260894285,4442.70227998532,4650.25371037681
4485.55166837973,4709.53141760514,4929.54840773401
1677.65901140104,1761.43056808882,1843.71999707624
6232.19886257874,6543.39499712434,6849.08529734695
7354.11677022632,7721.33430732751,8082.05485059611
4958.45013661703,5206.04340956004,5449.25614109242
1371.66958706404,1440.16198981949,1507.44259130195
5248.33384053886,5510.40205111233,5767.83362264963
11569.377217911,12147.0778902504,12714.5575980294
37888.1036892605,39779.9931595154,41638.4103972064
3708.726689854,3893.91677103423,4075.83037754147
3746.94681042036,3934.04535954647,4117.83366905412
2587.70644876841,2716.91995143927,2843.84734522886
5323.09884098468,5588.90033751379,5849.99914291601
4462.59028165415,4685.42348621812,4904.31421696839
7601.88816716049,7981.47782349748,8354.35159082084
1475.76523181594,1549.45550492547,1621.8420136451
2037.14751345552,2138.86962554432,2238.79202024153
10289.0852698314,10802.8563554222,11307.5375493314
4868.21574662148,5111.30329243346,5350.09001332662
16224.8467334029,17035.0117660349,17830.8429601137
24583.4179103973,25810.9565034165,27016.7768818722
3915.01460423335,4110.5053839387,4302.53744394512
3475.51556291618,3649.06057236107,3819.53513814577
14408.6995044443,15128.1777635262,15834.9266624759
2400.2613485897,2520.11504181582,2637.84822497465
4189.03003199685,4398.20338869345,4603.67594819419
1487.91502362946,1562.21197947467,1635.19443719754
52.8998694362566,55.5413504386056,58.1360970607983
806.850840634388,847.139809025847,886.715965227392
6987.02077790236,7335.90788962815,7678.62231898406
3871.02551363842,4064.31975944917,4254.1941478749
2421.93791810661,2542.87400092439,2661.6704232546
129885.434019698,134508.099836583,140651.255230342
22376.1602775625,23190.6350810853,24245.0587407501
73045.6632876803,79475.8430616289,79280.1095072389
34502.0939140644,37551.5534279454,37465.8879634586
31969.727828251,33196.4153157929,35132.5092609795
9096.20295340515,9550.40912693011,9996.57926206859
28704.2727899823,30137.5805150788,31545.5294453156
25994.2533195558,27292.2400030524,28567.2620763614
798.78250640738,838.668593778666,877.8489969173
873.499192353548,917.116152943451,959.961420860588
4999.1306161019,5248.75521281764,5493.96332726827
11652.024870916,12233.8524377739,12805.3860261527
83.2019269758083,87.3564988413749,91.4375659876358
3162.54067956304,3320.45772504549,3475.58082588177
1478.06067575388,1551.86556857624,1624.36466904986
1608.1071503176,1688.40573210583,1767.28363180262
82.4001122161696,86.5146465969294,90.5563845941495
6781.24806016759,7119.86019831368,7452.48144544666
1745.29134843879,1832.44003129339,1918.04683678967
1693.37665491353,1777.93305007109,1860.99343181951
1482.22047326885,1556.23307982472,1628.93621891565
19220.6551952015,20180.4117309972,21123.1877866438
7904.89293819731,8299.6127121062,8687.34891093691
938.977024905391,985.863529510354,1031.92049511496
3498.24034037432,3672.92007947803,3844.50929946246
39664.2692917284,41644.8491036621,43590.3875270083
2057.33492725228,2160.06506954207,2260.97766005274
20042.9082813148,21043.7228765952,22026.8305703186
5345.51196898303,5612.4326334702,5874.63080672167
13916.6688109563,14611.5782056446,15294.1929228212
65036.8090086837,68284.3311220942,71474.3964979988
71.3054081462697,74.865943982614,78.3634850705646
10928.0276579961,11473.7034365833,12009.724849899
28859.4749827302,30300.5325078585,31716.0941315221
6797.22203248757,7136.63180880798,7470.03658108578
4203.36772779076,4413.25701681765,4619.43284173728
679.428524740522,713.354838000345,746.680910267607
1231.41442318611,1292.90338018968,1353.30444457623
7160.74782098552,7518.30974941499,7869.54551674907
15084.4428285521,15837.6633883487,16577.55759725
1872.57288127954,1966.07718927029,2057.92717330047
56326.007773786,58797.7198572274,61115.6881065579
52809.3977337956,55446.3611612536,58036.6701294898
1781.75765735624,1942.1327869478,2095.52578815001
1118.84185849502,1174.70966198779,1229.58902494522
2760.67204323196,2898.52234125685,3033.93372371172
2920.18891156014,3066.00446106084,3209.24017039904
1932.37020271024,1983.08889544711,2014.72625132379
2831.94298659364,2973.35209958926,3112.25933265818
1249.80816802889,1312.21559112012,1373.51887143444
83926.1152231045,88281.8788986248,88393.5835520743
